Player,Position,Games,Win rate,KDA
Karsa,JUNGLE,6,33.3%,3.1
Kira,MID,10,40%,1.5
Kobbe,ADC,6,16.7%,3.3
Kold,JUNGLE,6,16.7%,1.7
Koro1,TOP,4,25%,1.2
Likkrit,SUPPORT,10,40%,1.6
Looper,TOP,10,40%,2.4
MMD,TOP,6,33.3%,2.4
Maple,MID,6,33.3%,2.6
Mata,SUPPORT,10,40%,2.8
Meteos,JUNGLE,9,33.3%,2.5
Mikyx,SUPPORT,6,16.7%,1.3
Mithy,SUPPORT,6,16.7%,2.6
Mlxg,JUNGLE,10,40%,2.4
Mountain,JUNGLE,6,50%,2.8
Mouse,TOP,7,57.1%,2.7
NL,ADC,6,33.3%,3.5
Odoamne,TOP,13,61.5%,2.9
PawN,MID,4,50%,4.7
Peanut,JUNGLE,16,62.5%,5.8
Perkz,MID,6,16.7%,1.5
PraY,ADC,16,62.5%,5
PvPStejos,JUNGLE,10,40%,2
Revolta,JUNGLE,6,16.7%,1.4
Ruler,ADC,17,76.5%,4.9
Ryu,MID,13,61.5%,4
Scout,MID,7,42.9%,3.2
Sencux,MID,6,16.7%,2.5
Smeb,TOP,16,62.5%,3.6
Smoothie,SUPPORT,9,33.3%,1.8
Smurf,TOP,10,40%,1.9
Sneaky,ADC,9,33.3%,1.9
Stixxay,ADC,6,50%,4.8
Svenskeren,JUNGLE,6,50%,3.1
SwordArt,SUPPORT,6,33.3%,2.4
Tockers,MID,6,16.7%,1.2
Trick,JUNGLE,6,16.7%,2.1
Uzi,ADC,10,40%,4.3
VandeR,SUPPORT,13,61.5%,5.4
Wolf,SUPPORT,20,70%,5.2
Wraith,SUPPORT,2,50%,2.9
Wunder,TOP,6,16.7%,1
Xmithie,JUNGLE,6,50%,4.5
ZionSpartan,TOP,6,50%,3.9
Ziv,TOP,6,50%,3
Zven,ADC,6,16.7%,2.1
aMiracle,ADC,10,40%,2.7
bengi,JUNGLE,10,80%,5.8
blank,JUNGLE,10,60%,4.9
jinjiao,ADC,6,33.3%,5.3
kurO,MID,16,62.5%,4.3
meiko,SUPPORT,11,45.5%,3.8
micaO,ADC,6,16.7%,1.2
road,SUPPORT,5,20%,2.1
westdoor,MID,5,60%,2.3
xiaohu,MID,10,40%,2.6
yang,TOP,6,16.7%,1.6
Achuu,ADC,10,10%,1.6
Aphromoo,SUPPORT,17,58.8%,3.3
Bang,ADC,17,70.6%,6.7
Duke,TOP,17,70.6%,7
Dumbledoge,SUPPORT,10,10%,1.4
Emperor,ADC,10,20%,1.4
Faker,MID,17,70.6%,4.7
Huhi,MID,17,58.8%,2.8
Hybrid,SUPPORT,10,20%,2.1
Karsa,JUNGLE,14,50%,3.4
Kikis,TOP,10,20%,1.6
Looper,TOP,14,64.3%,4.2
MMD,TOP,14,50%,4.3
Maple,MID,14,50%,4.7
Mata,SUPPORT,14,64.3%,3.4
Mlxg,JUNGLE,14,64.3%,5.5
NL,ADC,14,50%,3
Naru,MID,10,10%,1.3
Perkz,MID,10,20%,1.5
Stixxay,ADC,17,58.8%,4
Stomaged,JUNGLE,10,10%,1.4
SwordArt,SUPPORT,14,50%,4.7
Thaldrin,TOP,5,20%,1.4
Trick,JUNGLE,10,20%,1.6
Wolf,SUPPORT,17,70.6%,4.9
Wuxx,ADC,14,64.3%,3.8
Xmithie,JUNGLE,17,58.8%,3
ZionSpartan,TOP,17,58.8%,3.3
blank,JUNGLE,17,70.6%,5.6
fabFabulous,TOP,5,0%,0.9
xiaohu,MID,14,64.3%,4.2
